trade_date,symbol,1. open,2. high,3. low,4. close,5. volume
2024-03-22,SHOP.TRT,107.2000,109.0700,106.6400,107.1300,1398227
2024-03-21,SHOP.TRT,110.2800,112.5800,107.6800,107.6800,2273300
2024-03-20,SHOP.TRT,105.3900,110.0900,105.0400,109.6900,2675700
2024-03-19,SHOP.TRT,104.2100,106.4000,102.5100,105.1900,2431200
2024-03-18,SHOP.TRT,105.5000,105.6900,103.3000,104.9300,1966800
2024-03-15,SHOP.TRT,105.6300,106.9000,103.8600,104.4800,10624500
2024-03-14,SHOP.TRT,105.9000,107.6000,104.6600,106.0700,2465300
2024-03-13,SHOP.TRT,102.6600,106.9500,102.6600,105.9700,2124200
2024-03-12,SHOP.TRT,102.5400,103.5100,100.8400,103.0200,1986800
2024-03-11,SHOP.TRT,101.5000,102.9200,100.5200,101.0800,1261300
2024-03-08,SHOP.TRT,102.3900,106.9900,102.3600,102.8000,2179900
2024-03-07,SHOP.TRT,100.2600,102.2000,98.8000,101.4000,1914900
2024-03-06,SHOP.TRT,100.5800,101.5400,98.7000,100.0700,1645500
2024-03-05,SHOP.TRT,101.4500,101.7500,98.6000,99.8700,2209900
2024-03-04,SHOP.TRT,103.6400,103.8000,100.4500,102.8600,1638000
2024-03-01,SHOP.TRT,105.0000,106.9000,103.8000,103.8700,3850900
2024-02-29,SHOP.TRT,103.5500,104.4500,101.8400,103.6900,4140600
2024-02-28,SHOP.TRT,102.5000,103.3800,101.3900,102.5900,2139800
2024-02-27,SHOP.TRT,104.5800,104.9500,102.6600,103.6700,2126300
2024-02-26,SHOP.TRT,103.0800,105.7500,103.0700,104.7800,2082400
2024-02-23,SHOP.TRT,101.2000,103.6700,99.6000,102.9300,3760600
2024-02-22,SHOP.TRT,105.5900,106.4000,101.0200,101.1800,2099700
2024-02-21,SHOP.TRT,104.1100,105.5900,100.8800,102.0800,3096300
2024-02-20,SHOP.TRT,107.9500,108.8500,105.1600,106.3000,4104500
2024-02-16,SHOP.TRT,111.0800,112.8600,108.4000,109.6200,2883000
2024-02-15,SHOP.TRT,108.1000,113.1700,107.5500,113.0300,4067800
2024-02-14,SHOP.TRT,106.7600,109.3000,105.0700,109.2700,3819700
2024-02-13,SHOP.TRT,105.6000,113.2300,104.4700,104.8500,5436700
2024-02-12,SHOP.TRT,123.0000,123.2000,119.6800,119.8900,3959800
2024-02-09,SHOP.TRT,120.9400,122.7200,119.5900,122.1100,2327200
2024-02-08,SHOP.TRT,114.7500,123.1800,114.4800,118.2300,2680100
2024-02-07,SHOP.TRT,110.5700,115.0500,110.2000,114.6900,2713400
2024-02-06,SHOP.TRT,110.1400,110.8600,107.7000,109.9700,2654900
2024-02-05,SHOP.TRT,110.9500,111.7100,108.3800,110.1900,2665800
2024-02-02,SHOP.TRT,108.7900,111.7400,106.8600,111.6100,3617100
2024-02-01,SHOP.TRT,106.7800,106.8600,101.5000,102.7000,3973200
2024-01-31,SHOP.TRT,108.9100,109.9900,107.4800,107.6300,3113300
2024-01-30,SHOP.TRT,111.3700,111.6900,109.7700,110.3300,2123100
2024-01-29,SHOP.TRT,109.7000,112.0600,109.6100,112.0300,2701100
2024-01-26,SHOP.TRT,108.0100,111.2500,108.0000,109.6800,2026800
2024-01-25,SHOP.TRT,109.6500,110.2100,106.8700,108.4900,1812600
2024-01-24,SHOP.TRT,110.5000,111.9800,109.0900,109.2500,2246000
2024-01-23,SHOP.TRT,108.3200,109.9600,107.2200,109.3100,1639500
2024-01-22,SHOP.TRT,108.7800,111.1900,107.3300,108.2600,2314700
2024-01-19,SHOP.TRT,104.6100,107.7000,102.9400,107.5000,2305100
2024-01-18,SHOP.TRT,108.0100,109.3600,104.3500,104.6100,2799600
2024-01-17,SHOP.TRT,108.1200,108.7000,104.9100,108.5000,3201500
2024-01-16,SHOP.TRT,108.2500,110.7000,107.4000,109.7900,2903200
2024-01-15,SHOP.TRT,108.9900,109.8900,107.7000,109.1800,440900
2024-01-12,SHOP.TRT,108.3200,111.0400,107.9400,109.1300,2168900
2024-01-11,SHOP.TRT,108.5000,110.5500,106.3500,108.9000,1982000
2024-01-10,SHOP.TRT,107.9700,108.8000,106.2700,108.4600,1829100
2024-01-09,SHOP.TRT,103.2400,107.5100,102.9300,107.2900,2829600
2024-01-08,SHOP.TRT,100.1600,104.0000,100.1200,103.7600,2261700
2024-01-05,SHOP.TRT,97.7800,101.0100,97.7800,99.5800,3417000
2024-01-04,SHOP.TRT,95.6700,98.8700,94.3200,98.1100,2419200
2024-01-03,SHOP.TRT,96.3600,97.4800,95.1200,95.9200,2299100
2024-01-02,SHOP.TRT,101.9700,102.1100,97.1700,98.3900,3820000
2023-12-29,SHOP.TRT,104.6600,105.6000,102.0100,103.1600,1869900
2023-12-28,SHOP.TRT,103.3000,104.7300,102.2800,104.6300,1360500
2023-12-27,SHOP.TRT,103.0000,103.8200,101.9200,103.4800,2086300
2023-12-22,SHOP.TRT,101.4300,102.3800,101.0000,101.8700,3753600
2023-12-21,SHOP.TRT,102.0300,102.9600,100.4300,101.1300,3242300
2023-12-20,SHOP.TRT,104.0500,104.9200,100.3600,100.7900,4864900
2023-12-19,SHOP.TRT,103.1300,106.6800,103.1000,104.5000,4287600
2023-12-18,SHOP.TRT,101.0000,103.6400,101.0000,103.3000,4404200
2023-12-15,SHOP.TRT,104.0000,104.3400,102.2500,103.0300,14037100
